split,feature_selection_method,feature_name
Split07,L1_Lasso,num__Park Area_hm
Split07,L1_Lasso,num__transit_stops_hm
Split07,L1_Lasso,cat__class_type_mot-sec
Split07,L1_Lasso,cat__class_type_pri-res
Split07,L1_Lasso,cat__class_type_pri-sec
Split07,L1_Lasso,cat__class_type_res-ter
Split07,L1_Lasso,cat__class_type_sec-sec
Split07,L1_Lasso,cat__speed_type_25 mph-30 mph
Split07,L1_Lasso,cat__speed_type_25 mph-55 mph
Split07,L1_Lasso,cat__speed_type_35 mph-35 mph
Split07,RandomForest,num__stv_mi_hm
Split07,RandomForest,num__job_dens_em
Split07,RandomForest,num__sig_dens_qm
Split07,RandomForest,num__job_dens_hm
Split07,RandomForest,num__sig_int_qm
Split07,RandomForest,num__job_dens_qm
Split07,RandomForest,num__sig_dens_hm
Split07,RandomForest,num__sig_int_hm
Split07,RandomForest,num__sig_dens_em
Split07,RandomForest,num__sig_int_em
Split07,RandomForest,num__zch_qm
Split07,RandomForest,num__job_dens
Split07,RandomForest,num__Park Area_hm
Split07,RandomForest,num__zch_hm
Split07,RandomForest,num__swlk_len
Split07,RandomForest,num__walk_comm_hm
Split07,RandomForest,num__dist_CBD
Split07,RandomForest,num__stv_ann
Split07,RandomForest,num__stv_mi
Split07,RandomForest,num__isect_dens_em
Split08,MutualInformation,num__walk_comm_hm
Split08,MutualInformation,num__sig_int_hm
Split08,MutualInformation,num__job_dens_qm
Split08,MutualInformation,num__sig_dens_hm
Split08,MutualInformation,num__job_dens_hm
Split08,MutualInformation,num__job_dens_em
Split08,MutualInformation,num__sig_int_qm
Split08,MutualInformation,num__sig_dens_qm
Split08,MutualInformation,num__stv_mi
Split08,MutualInformation,num__stv_ann
Split08,MutualInformation,num__job_dens
Split08,MutualInformation,num__isect_dens_em
Split08,MutualInformation,num__sig_dens_em
Split08,MutualInformation,num__dist_CBD
Split08,MutualInformation,num__sig_int_em
Split08,MutualInformation,num__stv_mi_hm
Split08,MutualInformation,num__hh_hm
Split08,MutualInformation,num__walk_comm_qm
Split08,MutualInformation,num__transit_stops_em
Split08,MutualInformation,num__stv_mi_em
Split08,L1_Lasso,num__stv_mi
Split08,L1_Lasso,num__dist_CBD
Split08,L1_Lasso,num__sig_int_em
Split08,L1_Lasso,num__job_dens_hm
Split08,L1_Lasso,num__Park Area_hm
Split08,L1_Lasso,cat__class_type_sec-sec
Split08,L1_Lasso,cat__speed_type_20 mph-30 mph
Split08,L1_Lasso,cat__crossing_class_unmarked
Split08,RandomForest,num__job_dens_em
Split08,RandomForest,num__job_dens_qm
Split08,RandomForest,num__job_dens_hm
Split08,RandomForest,num__sig_int_hm
Split08,RandomForest,num__sig_dens_hm
Split08,RandomForest,num__zch_hm
Split08,RandomForest,num__isect_dens_hm
Split08,RandomForest,num__sig_int_qm
Split08,RandomForest,num__sig_dens_qm
Split08,RandomForest,num__walk_comm_hm
Split08,RandomForest,num__job_dens
Split08,RandomForest,num__stv_mi
Split08,RandomForest,num__stv_ann
Split08,RandomForest,num__sig_int_em
Split08,RandomForest,num__zch_qm
Split08,RandomForest,num__transit_stops_hm
Split08,RandomForest,num__Park Area_qm
Split08,RandomForest,num__sig_dens_em
Split08,RandomForest,num__dist_CBD
Split08,RandomForest,num__Park Area_hm
Split09,MutualInformation,num__isect_dens_em
Split09,MutualInformation,num__transit_stops_hm
Split09,MutualInformation,num__bus_stops_hm
Split09,MutualInformation,num__sig_dens_hm
Split09,MutualInformation,num__walk_comm_hm
Split09,MutualInformation,num__sig_int_hm
Split09,MutualInformation,num__sig_dens_qm
Split09,MutualInformation,num__zch_qm
Split09,MutualInformation,num__hh_hm
Split09,MutualInformation,num__stv_mi_hm
Split09,MutualInformation,num__sig_int_qm
Split09,MutualInformation,num__dist_CBD
Split09,MutualInformation,num__job_dens_hm
Split09,MutualInformation,num__isect_dens_qm
Split09,MutualInformation,num__stv_ann
Split09,MutualInformation,num__stv_mi
Split09,MutualInformation,num__job_dens_qm
Split09,MutualInformation,num__transit_stops_qm
Split09,MutualInformation,num__bus_stops_qm
Split09,MutualInformation,num__isect_dens_hm
Split09,L1_Lasso,num__Number of
Split09,L1_Lasso,num__stv_mi
Split09,L1_Lasso,num__sig_int_em
Split09,L1_Lasso,num__stv_mi_hm
Split09,L1_Lasso,num__job_dens_hm
Split09,L1_Lasso,num__transit_stops_hm
Split09,L1_Lasso,cat__class_type_sec-sec
Split09,L1_Lasso,cat__speed_type_20 mph-30 mph
Split09,RandomForest,num__stv_mi_hm
Split09,RandomForest,num__zch_hm
Split09,RandomForest,num__walk_comm_hm
Split09,RandomForest,num__job_dens_em
Split09,RandomForest,num__job_dens_hm
Split09,RandomForest,num__zch_qm
Split09,RandomForest,num__sig_int_em
Split09,RandomForest,num__isect_dens_hm
Split09,RandomForest,num__sig_int_hm
Split09,RandomForest,num__sig_int_qm
Split09,RandomForest,num__transit_stops_hm
Split09,RandomForest,num__sig_dens_hm
Split09,RandomForest,num__dist_CBD
Split09,RandomForest,num__sig_dens_em
Split09,RandomForest,num__stv_mi_qm
Split09,RandomForest,num__sig_dens_qm
Split09,RandomForest,num__job_dens_qm
Split09,RandomForest,num__stv_mi
Split09,RandomForest,num__transit_stops_qm
Split09,RandomForest,num__stv_ann
Split10,MutualInformation,num__walk_comm_hm
Split10,MutualInformation,num__transit_stops_em
Split10,MutualInformation,num__sig_int_hm
Split10,MutualInformation,num__sig_dens_hm
Split10,MutualInformation,num__dist_CBD
Split10,MutualInformation,num__job_dens_hm
Split10,MutualInformation,num__stv_mi_hm
Split10,MutualInformation,num__sig_int_qm
Split10,MutualInformation,num__isect_dens_hm
Split10,MutualInformation,num__job_dens_em
Split10,MutualInformation,num__bus_stops_em
Split10,MutualInformation,num__sig_dens_qm
Split10,MutualInformation,num__job_dens_qm
Split10,MutualInformation,num__isect_dens_qm
Split10,MutualInformation,cat__class_type_pri-res
Split10,MutualInformation,num__zch_qm
Split10,MutualInformation,num__job_dens
Split10,MutualInformation,cat__speed_type_20 mph-30 mph
Split10,MutualInformation,num__hh_hm
Split10,MutualInformation,num__isect_dens_em
Split10,L1_Lasso,num__Number of
Split10,L1_Lasso,num__stv_mi
Split10,L1_Lasso,num__stv_mi_em
Split10,L1_Lasso,num__bus_stops_em
Split10,L1_Lasso,num__sig_int_em
Split10,L1_Lasso,num__Commercial Area_em
Split10,L1_Lasso,num__Retail Area_em
Split10,L1_Lasso,num__transit_stops_qm
Split10,L1_Lasso,num__bus_stops_hm
Split10,L1_Lasso,num__job_dens_hm
Split10,L1_Lasso,cat__class_type_mot-sec
Split10,L1_Lasso,cat__class_type_pri-pri
Split10,L1_Lasso,cat__class_type_pri-ter
Split10,L1_Lasso,cat__class_type_sec-sec
Split10,L1_Lasso,cat__speed_type_20 mph-30 mph
Split10,L1_Lasso,cat__speed_type_25 mph-55 mph
Split10,L1_Lasso,cat__crossing_class_unmarked
Split10,RandomForest,num__zch_hm
Split10,RandomForest,num__job_dens_em
Split10,RandomForest,num__job_dens
Split10,RandomForest,num__job_dens_hm
Split10,RandomForest,num__isect_dens_hm
Split10,RandomForest,num__sig_int_qm
Split10,RandomForest,num__transit_stops_hm
Split10,RandomForest,num__stv_mi_hm
Split10,RandomForest,num__sig_int_hm
Split10,RandomForest,num__job_dens_qm
Split10,RandomForest,num__sig_dens_qm
Split10,RandomForest,num__sig_dens_hm
Split10,RandomForest,num__stv_ann
Split10,RandomForest,num__stv_mi_qm
Split10,RandomForest,num__walk_comm_hm
Split10,RandomForest,num__sig_int_em
Split10,RandomForest,num__stv_mi
Split10,RandomForest,num__dist_CBD
Split10,RandomForest,num__zch_qm
Split10,RandomForest,num__sig_dens_em
Split11,MutualInformation,num__walk_comm_hm
Split11,MutualInformation,num__dist_CBD
Split11,MutualInformation,num__sig_int_hm
Split11,MutualInformation,num__sig_dens_hm
Split11,MutualInformation,num__stv_mi
Split11,MutualInformation,num__stv_ann
Split11,MutualInformation,num__transit_stops_em
Split11,MutualInformation,num__job_dens_qm
Split11,MutualInformation,num__Park Area_hm
Split11,MutualInformation,num__isect_dens_em
Split11,MutualInformation,num__stv_mi_hm
Split11,MutualInformation,num__job_dens_em
Split11,MutualInformation,num__sig_int_qm
Split11,MutualInformation,num__hh_hm
Split11,MutualInformation,num__job_dens
Split11,MutualInformation,num__sig_dens_qm
Split11,MutualInformation,num__zch_em
Split11,MutualInformation,num__med_inc_em
Split11,MutualInformation,num__walk_comm_qm
Split11,MutualInformation,num__swlk_len
Split11,L1_Lasso,num__Number of
Split11,L1_Lasso,num__stv_mi
Split11,L1_Lasso,num__dist_CBD
Split11,L1_Lasso,num__sig_int
Split11,L1_Lasso,num__sig_int_em
Split11,L1_Lasso,num__transit_stops_em
Split11,L1_Lasso,num__stv_mi_hm
Split11,L1_Lasso,num__Park Area_hm
Split11,L1_Lasso,num__transit_stops_hm
Split11,L1_Lasso,cat__class_type_mot-sec
Split11,L1_Lasso,cat__class_type_pri-pri
Split11,L1_Lasso,cat__class_type_pri-sec
Split11,L1_Lasso,cat__class_type_sec-sec
Split11,L1_Lasso,cat__speed_type_20 mph-30 mph
Split11,L1_Lasso,cat__speed_type_35 mph-35 mph
Split11,RandomForest,num__job_dens_em
Split11,RandomForest,num__zch_qm
Split11,RandomForest,num__job_dens_hm
Split11,RandomForest,num__swlk_len
Split11,RandomForest,num__zch_hm
Split11,RandomForest,num__sig_int_hm
Split11,RandomForest,num__Park Area_hm
Split11,RandomForest,num__job_dens
Split11,RandomForest,num__sig_dens_hm
Split11,RandomForest,num__sig_int_qm
Split11,RandomForest,num__job_dens_qm
Split11,RandomForest,num__walk_comm_hm
Split11,RandomForest,num__pop_dens_qm
Split11,RandomForest,num__sig_dens_qm
Split11,RandomForest,num__Park Area_qm
Split11,RandomForest,num__stv_mi
Split11,RandomForest,num__sig_int
Split11,RandomForest,num__stv_mi_em
Split11,RandomForest,num__sig_dens
Split11,RandomForest,num__dist_CBD
Split12,MutualInformation,num__transit_stops_em
Split12,MutualInformation,num__bus_stops_em
Split12,MutualInformation,num__sig_int_hm
Split12,MutualInformation,num__isect_dens_em
Split12,MutualInformation,num__sig_dens_hm
Split12,MutualInformation,num__walk_comm_hm
Split12,MutualInformation,num__job_dens_hm
Split12,MutualInformation,num__sig_dens_qm
Split12,MutualInformation,num__sig_int_qm
Split12,MutualInformation,num__bus_stops_hm
Split12,MutualInformation,num__transit_stops_hm
Split12,MutualInformation,num__job_dens_qm
Split12,MutualInformation,num__Park Area_qm
Split12,MutualInformation,num__stv_mi_hm
Split12,MutualInformation,num__swlk_len_hm
Split12,MutualInformation,cat__class_type_pri-res
Split12,MutualInformation,cat__speed_type_20 mph-30 mph
Split12,MutualInformation,num__stv_mi_em
Split12,MutualInformation,num__hh_hm
Split12,MutualInformation,num__zch_em
Split12,L1_Lasso,num__Number of
Split12,L1_Lasso,num__stv_mi
Split12,L1_Lasso,num__sig_int
Split12,L1_Lasso,num__Commercial Area_em
Split12,L1_Lasso,num__sig_int_qm
Split12,L1_Lasso,num__transit_stops_qm
Split12,L1_Lasso,num__job_dens_hm
Split12,L1_Lasso,num__Park Area_hm
Split12,L1_Lasso,num__transit_stops_hm
Split12,L1_Lasso,cat__season_spring
Split12,L1_Lasso,cat__class_type_mot-sec
Split12,L1_Lasso,cat__class_type_pri-res
Split12,L1_Lasso,cat__class_type_pri-ter
Split12,L1_Lasso,cat__class_type_sec-sec
Split12,L1_Lasso,cat__speed_type_25 mph-55 mph
Split12,RandomForest,num__stv_mi_hm
Split12,RandomForest,num__zch_hm
Split12,RandomForest,num__sig_dens_hm
Split12,RandomForest,num__sig_int_hm
Split12,RandomForest,num__job_dens_hm
Split12,RandomForest,num__job_dens_em
Split12,RandomForest,num__walk_comm_hm
Split12,RandomForest,num__sig_dens_qm
Split12,RandomForest,num__sig_dens_em
Split12,RandomForest,num__sig_int_qm
Split12,RandomForest,num__sig_int_em
Split12,RandomForest,num__job_dens_qm
Split12,RandomForest,num__isect_dens_em
Split12,RandomForest,num__dist_CBD
Split12,RandomForest,num__stv_mi
Split12,RandomForest,num__sig_dens
Split12,RandomForest,num__stv_ann
Split12,RandomForest,num__swlk_len
Split12,RandomForest,num__sig_int
Split12,RandomForest,num__bus_stops_hm
Split13,MutualInformation,num__walk_comm_hm
Split13,MutualInformation,num__dist_CBD
Split13,MutualInformation,num__job_dens_hm
Split13,MutualInformation,num__stv_mi_hm
Split13,MutualInformation,num__sig_dens_qm
Split13,MutualInformation,num__isect_dens_em
Split13,MutualInformation,num__sig_dens_hm
Split13,MutualInformation,num__sig_int_qm
Split13,MutualInformation,num__sig_dens_em
Split13,MutualInformation,num__stv_ann
Split13,MutualInformation,num__stv_mi
Split13,MutualInformation,num__sig_int_hm
Split13,MutualInformation,num__transit_stops_em
Split13,MutualInformation,num__job_dens_qm
Split13,MutualInformation,num__stv_mi_em
Split13,MutualInformation,num__sig_int_em
Split13,MutualInformation,num__transit_stops_hm
Split13,MutualInformation,num__hh_hm
Split13,MutualInformation,num__zch_qm
Split13,MutualInformation,num__job_dens
Split13,L1_Lasso,num__stv_mi
Split13,L1_Lasso,num__sig_int
Split13,L1_Lasso,num__stv_mi_em
Split13,L1_Lasso,num__bus_stops_em
Split13,L1_Lasso,num__Commercial Area_em
Split13,L1_Lasso,num__Retail Area_em
Split13,L1_Lasso,num__isect_dens_qm
Split13,L1_Lasso,num__transit_stops_qm
Split13,L1_Lasso,num__job_dens_hm
Split13,L1_Lasso,cat__class_type_pri-res
Split13,L1_Lasso,cat__class_type_sec-sec
Split13,L1_Lasso,cat__speed_type_20 mph-30 mph
Split13,L1_Lasso,cat__crossing_class_unmarked
Split13,RandomForest,num__job_dens_em
Split13,RandomForest,num__job_dens
Split13,RandomForest,num__stv_mi_hm
Split13,RandomForest,num__sig_int_qm
Split13,RandomForest,num__sig_dens_hm
Split13,RandomForest,num__zch_hm
Split13,RandomForest,num__sig_int_hm
Split13,RandomForest,num__sig_dens_qm
Split13,RandomForest,num__job_dens_hm
Split13,RandomForest,num__job_dens_qm
