model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,best_params,feature_selection,n_features,cv_strategy
Bagging_HistGB,0.8950444976203851,0.018718594483873006,0.6086053705991851,0.26203708404304976,62.53705048705124,13.11355934499688,50.02074344456834,8.232847952416517,85.14043821896591,19.743660743124106,"{'max_features': 1.0, 'max_samples': 0.8, 'n_estimators': 15}",L1_Lasso,20,5-Fold
RandomForest,0.9263460843347129,0.007511329344025065,0.7268673387010083,0.2535324742206879,85.14778105774921,43.32720657419504,52.52691549639085,13.898291568439726,76.54588039089742,31.729887490684078,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 20}",L1_Lasso,20,10-Fold
HistGB_Poisson,0.9976969272865734,0.00045099678582212027,0.7017395003482839,0.25753184222332337,51.199472058715656,15.65012434382846,48.904603218293225,12.639502552979115,79.01894677801256,38.05788968799899,"{'min_samples_leaf': 10, 'max_iter': 500, 'max_depth': 7, 'learning_rate': 0.1, 'l2_regularization': 0.0}",L1_Lasso,20,10-Fold
HistGB_SquaredError,0.9931260444147538,0.0020803243366495057,0.7025512843715439,0.29918739000598843,58.585587508607816,32.96550046459801,46.834333225574916,18.326639775798622,74.48810394260775,38.49523146803588,"{'min_samples_leaf': 10, 'max_iter': 300, 'max_depth': 7, 'learning_rate': 0.05, 'l2_regularization': 0.0}",L1_Lasso,20,10-Fold
ExtraTrees,0.9531411358010992,0.004305657457842037,0.7435667032308224,0.2388095401946443,73.63197046546108,32.854326739439465,50.369601332284525,12.968932955842341,74.5758775858151,33.777510114968294,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",L1_Lasso,20,10-Fold
GradientBoosting_Huber,0.9907180104466582,0.0015652617220012828,0.7126958563645763,0.26092947477612116,65.41274219153729,27.57404390072735,51.29135625449444,17.034043423797517,77.11359057434184,30.686667912162193,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_depth': 5, 'learning_rate': 0.1, 'alpha': 0.9}",L1_Lasso,20,10-Fold
PoissonRegressor,0.8136257404142724,0.014198745800902414,0.6911351820972187,0.2516959189921553,65.84268620349533,28.064826161206586,49.17031777624118,9.103101732523129,87.20873730472333,53.8396898351453,{'alpha': 10.0},L1_Lasso,20,10-Fold
Bagging_HistGB,0.8870641007707905,0.01362788949254869,0.6634344952806018,0.2912107260677115,67.52674060699823,21.941442918641965,51.57447634101534,10.983523859234914,79.14111057152876,37.20574437121028,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 5}",L1_Lasso,20,10-Fold
RandomForest,0.9507019832928549,0.003979513935563533,0.7106106085599327,0.22991155790128445,88.40238547129859,36.64700260302613,54.62493646984558,14.411710148234548,76.51289903395633,34.34082358944798,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",L1_Lasso,20,RepeatedKFold_5x10
HistGB_Poisson,0.9827633783210362,0.0023796557424249735,0.66075015627815,0.26873747287231026,53.0635572940258,15.990999079711491,49.190161933409165,14.05312256836669,78.48643709887604,39.630778547473135,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 1.0}",L1_Lasso,20,RepeatedKFold_5x10
