model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,cv_strategy,experiment,feature_selection,n_features,best_params,target_transform
GradientBoosting_Huber,0.9707977067786526,0.0063441614499629975,0.7075421972139483,0.22487755680822832,66.50067698973278,27.66219926543644,51.25839439543801,12.561063912308525,75.38152514745967,29.286672347087556,Repeated_3x10,HP_Tuning,L1_Lasso,20.0,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 7, 'learning_rate': 0.01, 'alpha': 0.8}",
PoissonRegressor,0.8138580539493115,0.018033542643143195,0.6842320354454565,0.21499544372141363,65.83390907531727,21.97887989006661,50.05834822844325,11.507654013400586,89.49768001325327,52.7496707447515,Repeated_3x10,HP_Tuning,L1_Lasso,20.0,{'alpha': 10.0},
Bagging_HistGB,0.9087642079157606,0.009509186715352579,0.6709452575141135,0.2539216749428045,67.62783927129755,25.723973223971722,50.509807374977086,14.313686026506133,78.39687806801167,38.18973475816181,Repeated_3x10,HP_Tuning,L1_Lasso,20.0,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 15}",
RandomForest,0.950196960246114,0.004177217988488631,0.7070791140433182,0.22335386567001697,90.07660068684923,40.16363754047559,54.79083367512991,14.576384089081106,77.71770397873405,37.26696131993082,Repeated_3x10,HP_Tuning,L1_Lasso,25.0,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",
HistGB_Poisson,0.9850878115425469,0.0020473948083767264,0.6767558110056403,0.25955928685475255,53.213086605459516,17.14517563029091,48.426586960219,13.891066917805507,77.01450248832762,39.145837411436666,Repeated_3x10,HP_Tuning,L1_Lasso,25.0,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 0.0}",
HistGB_SquaredError,0.9795331060710244,0.010756588753858825,0.6861277560083946,0.2537314951507736,68.48923593116089,25.897856606046265,57.50634309723451,17.681028342734972,77.63936656825199,38.79253814083526,Repeated_3x10,HP_Tuning,L1_Lasso,25.0,"{'min_samples_leaf': 10, 'max_iter': 300, 'max_depth': 10, 'learning_rate': 0.05, 'l2_regularization': 10.0}",
ExtraTrees,0.959827133826309,0.004106249906450433,0.7322745804319034,0.20896899524684207,76.62227057252458,30.91616637680827,50.99193961537101,13.05167884970326,74.43522862049358,37.36447478666029,Repeated_3x10,HP_Tuning,L1_Lasso,25.0,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25}",
GradientBoosting_Huber,0.9285537594527165,0.019947586315663422,0.6668109969312898,0.25038800633239594,70.45897391371297,28.109027686778482,56.970681623078825,17.97966828953111,80.50574444280991,36.88155576690507,Repeated_3x10,HP_Tuning,L1_Lasso,25.0,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_depth': 3, 'learning_rate': 0.05, 'alpha': 0.9}",
PoissonRegressor,0.8210717982057376,0.019279737915273494,0.6569090973030066,0.24318055783871179,68.11268158095679,22.770522634197572,51.15763868165074,12.26074765389897,97.08379274728213,67.69177313563902,Repeated_3x10,HP_Tuning,L1_Lasso,25.0,{'alpha': 10.0},
Bagging_HistGB,0.9270290991085471,0.009086139407224709,0.6834438145962893,0.2318373102802099,61.45207000533633,23.711373250488034,49.32934846359933,13.763846606088823,78.41283608231514,37.71428731593897,Repeated_3x10,HP_Tuning,L1_Lasso,25.0,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10}",
